bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,publisher,language_code_encoded,book_age_days,author_encoded,rating_category
103302,Fake Book Title 3302,Lucas Carlson/Leonard Richardson,3.47,1487730383,5151437979947,nl,494,116889,Ace,17,3015.6,70,High
102722,Fake Book Title 2722,Narendra Jadhav,3.19,1228180081,7836157205552,glg,612,43136,New Directions,10,2785.9,80,Medium
103222,Fake Book Title 3222,Bryce Courtenay,3.22,8699722790,2846565606749,ger,777,223834,Signet,8,13418.3,6,Medium
36334,Doomed Queen Anne (Young Royals  #3),Carolyn Meyer,3.87,0152050868,9780152050863,eng,240,3547,HMH Books for Young Readers,5,7927.0,803,High
38511,The Wakefields of Sweet Valley (Sweet Valley High Magna Editions #1),Francine Pascal/Kate William,3.92,0553292781,9780553292787,eng,346,1425,Sweet Valley,5,11952.0,1847,High
17694,The Zürau Aphorisms,Franz Kafka/Michael Hofmann/Geoffrey Brock/Roberto Calasso,3.75,0805212078,9780805212075,eng,160,648,Schocken,5,6958.0,1880,High
100174,Fake Book Title 174,Wendy Wasserstein,4.49,4482238042,7208663599223,enm,971,267637,Pantheon,6,5478.6,98,High
17292,Mission: Where's June? (Disney's Little Einstein),Susan Ring/Kirk Albert Etienne/Kirk Etienne Albert/Michael James Luzzi,4.5,0786855398,9780786855391,eng,24,12,Disney Press,5,7223.0,5876,High
101793,Fake Book Title 1793,Ralph Ginzburg,4.88,3841827734,6941501249806,jpn,965,144882,Thomas Nelson,13,2945.1,84,High
2998,The Secret Garden,Frances Hodgson Burnett,4.13,0517189607,9780517189603,eng,331,764134,Children's Classics,5,9996.0,1834,High
1198,Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,3.92,1400052378,9781400052370,eng,287,275,Clarkson Potter Publishers,5,7774.0,6143,High
18291,Critique of Pure Reason,Immanuel Kant/Marcus Weigelt/F. Max Müller,3.94,0140447474,9780140447477,eng,784,254,Penguin Books Ltd,5,6620.0,2512,High
20429,A Near Thing for Captain Najork (Captain Najork #2),Russell Hoban/Quentin Blake,4.18,1567923232,9781567923230,eng,32,76,David R. Godine,5,7044.0,5427,High
14721,The Wealth of Networks: How Social Production Transforms Markets and Freedom,Yochai Benkler,3.97,0300110561,9780300110562,eng,528,1568,Yale University Press,5,7182.0,6538,High
1337,Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,4.5,189031823X,9781890318239,eng,125,26,St. Augustines Press,5,2528.0,3272,High
37598,The Eternity Code (Artemis Fowl  #3),Eoin Colfer,4.04,0670913529,9780670913527,eng,329,187,Penguin Group,5,8321.0,1688,High
104076,Fake Book Title 4076,Marguerite Duras,3.72,2326494754,6541512008876,spa,458,219283,HarperAudio,21,1332.2,72,High
13141,The Midnight Club,James Patterson,3.82,0446606383,9780446606387,eng,368,10970,Vision,5,9723.0,2752,High
101615,Fake Book Title 1615,Kahlil Gibran/جبران خليل جبران,3.99,1110533960,3837815375066,eng,742,155244,William Morrow Paperbacks,5,3698.9,60,High
25848,The Drifting Classroom  Vol. 5 (Drifting Classroom),Kazuo Umezu,3.87,1421509571,9781421509570,en-US,192,388,VIZ Media LLC,4,6846.0,3505,High
19166,The Portable Dante,Dante Alighieri/Mark Musa,4.22,0142437549,9780142437544,eng,654,278,Penguin Books,5,8204.0,1150,High
22298,Fantasmas,Chuck Palahniuk/Javier Calvo,3.59,9879397509,9789879397503,spa,442,116,Mondadori,21,7078.0,996,High
31082,Who Are You?: 101 Ways of Seeing Yourself,Malcolm Godwin,3.48,0140196099,9780140196092,eng,224,263,Penguin Books,5,9509.0,3911,High
7600,One Hundred Years Of Solitude,Gabriel García Márquez,4.07,1857152239,9781857152234,eng,416,376,Everyman,5,11072.0,1955,High
23963,You'll Have Had Your Hole,Irvine Welsh,3.51,0413728609,9780413728609,eng,76,227,Bloomsbury Methuen Drama,5,10148.0,2532,High
