bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,publisher,language_code_encoded,book_age_days,author_encoded,rating_category
100000,Fake Book Title 0,Leo Tolstoy/David Magarshack/Priscilla Meyer,3.97,3746317213,6802303397970,rus,505,290676,Thomas Nelson,20,2857.6,65,High
100001,Fake Book Title 1,Kahlil Gibran/جبران خليل جبران,4.36,9697354961,5599959090126,nl,175,9221,Signet,17,2785.7,60,High
100002,Fake Book Title 2,Dale Peck,3.58,2181241943,7324999408400,en-US,678,100805,Scholastic Inc.,4,10547.0,15,High
100003,Fake Book Title 3,Charles Todd,2.82,1958682846,5156208793671,en-CA,953,108175,Simon & Schuster,2,5192.2,7,Medium
100004,Fake Book Title 4,John Banville,3.21,4163119785,9186715438034,wel,591,3746,Rowman & Littlefield Publishers,24,7397.1,51,Medium
100005,Fake Book Title 5,Philippa Carr,3.41,9963334018,3810226334795,en-US,293,126360,Farrar  Straus and Giroux,4,19793.9,82,High
100006,Fake Book Title 6,Henry Miller,4.11,2812140441,7465192957343,gla,261,151435,Nimble Books,9,13801.5,42,High
100007,Fake Book Title 7,Marguerite Duras,3.93,1127978094,4885290231784,en-CA,446,281343,Firebird,2,18998.2,72,High
100008,Fake Book Title 8,Charles Willeford/James Lee Burke,3.39,1939042955,9410119639120,eng,460,45790,Simon & Schuster,5,3164.1,10,Medium
100009,Fake Book Title 9,Charles Willeford/James Lee Burke,4.97,9703905715,9002181999442,jpn,868,106661,Pantheon,13,7868.3,10,High
100010,Fake Book Title 10,Marguerite Duras/Barbara Bray,4.01,7635473142,7573901591856,fre,683,248972,Wiley,7,11257.2,73,High
100011,Fake Book Title 11,Ralph Ginzburg,3.09,6241752544,7363869217878,glg,186,63861,Interlink Publishing Group,10,1872.1,84,Medium
100012,Fake Book Title 12,Satyajit Das,2.75,7825844140,2973813075084,nor,361,182435,One World (UK),18,447.2,92,Medium
100013,Fake Book Title 13,W. Frederick Zimmerman,2.88,4460967357,4558403971487,ale,313,63282,Cambridge University Press,0,13529.0,97,Medium
100014,Fake Book Title 14,Edward P. Jones,3.11,8293453178,3891156601305,spa,764,277611,Booket,21,12967.1,25,Medium
100015,Fake Book Title 15,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,2.9,6756332150,8771830688361,rus,821,155851,Kingfisher,20,8430.8,68,Medium
100016,Fake Book Title 16,J.K. Rowling,2.97,1667779376,9601029126786,nor,672,112542,Teacher Created Resources,18,9979.2,45,Medium
100017,Fake Book Title 17,Marguerite Duras/Barbara Bray,3.21,2445662585,8836212393350,mul,879,30149,O'Reilly Media,16,8522.2,73,Medium
100018,Fake Book Title 18,Heidi Boyd,2.93,5693307665,1978430882247,fre,361,229256,New Directions Publishing,7,836.3,36,Medium
100019,Fake Book Title 19,Frank Herbert/Brian Herbert/Kevin J. Anderson,4.74,5710360983,3321229816757,swe,829,118524,Tor Science Fiction,22,6950.0,30,High
100020,Fake Book Title 20,J.K. Rowling,2.7,8934927891,8307943753187,jpn,382,271450,Amistad,13,3842.0,45,Medium
100021,Fake Book Title 21,V.T. Rajshekar/Y.N. Kly,3.81,7887950851,6423714402614,lat,747,243638,Firebird,14,2297.6,95,High
100022,Fake Book Title 22,Mulk Raj Anand/E.M. Forster,3.53,4466589567,1385358553663,swe,566,34731,Sterling Children's Books,22,19150.2,79,High
100023,Fake Book Title 23,Philippa Carr,4.96,8429141456,5477056509192,en-GB,479,91378,Del Rey Books,3,12133.4,82,High
100024,Fake Book Title 24,Rolland Baker/Heidi Baker,2.78,3303082117,1055046247460,glg,461,218562,Teaching Resources,10,14672.2,90,Medium
100025,Fake Book Title 25,Charles Willeford/Lawrence Block,3.49,2625792787,4834314033913,ger,548,34590,Delacorte Books for Young Readers,8,6557.2,11,High
100026,Fake Book Title 26,Gloria Goldreich,4.92,7665963761,2286679049475,ara,540,157658,Knopf,1,8084.4,34,High
100027,Fake Book Title 27,Edward P. Jones,4.66,8995970241,8451962776781,lat,192,84750,Harper Perennial,14,5017.0,25,High
100028,Fake Book Title 28,Marguerite Duras/Richard Seever,4.54,3479708607,2060831683426,ita,720,187697,Abdo Publishing Company,12,2268.9,74,High
100029,Fake Book Title 29,Ruby Ann Boxcar,3.14,4026113008,9306182318671,ger,852,46052,The New Press,8,3880.3,91,Medium
100030,Fake Book Title 30,Jean Gibran/جبران خليل جبران/Kahlil Gibran,2.93,9786748825,6046722873052,mul,966,49862,Firebird,16,16024.2,49,Medium
100031,Fake Book Title 31,Anthony Thorlby,4.17,5728765136,4167146967274,rus,523,191101,Black Classic Press,20,13668.6,2,High
100032,Fake Book Title 32,Dave Lakhani,4.82,6488854841,3382714591842,nl,241,257956,Ace,17,11103.9,17,High
100033,Fake Book Title 33,Kahlil Gibran/John Walbridge/Robin Waterfield,3.89,2566942273,7585990305564,fre,390,108996,Interlink Publishing Group,7,9693.4,58,High
100034,Fake Book Title 34,Mulk Raj Anand/E.M. Forster,3.93,6884882440,8891497660208,tur,531,66718,Shambhala,23,18477.0,79,High
